Periodo,Nombre
196801,Bill Bowrey
196805,Ken Rosewall
196806,Rod Laver
196808,Arthur Ashe
196901,Rod Laver
196905,Rod Laver
196906,Rod Laver
196908,Rod Laver
197001,Arthur Ashe
197005,Jan Kodes
197006,John Newcombe
197009,Ken Rosewall
197103,Ken Rosewall
197105,Jan Kodes
197106,John Newcombe
197109,Stan Smith
197112,Ken Rosewall
197205,Andres Gimeno
197206,Stan Smith
197208,Ilie Nastase
197212,John Newcombe
197305,Ilie Nastase
197306,Jan Kodes
197308,John Newcombe
197312,Jimmy Connors
197406,Bjorn Borg
197406,Jimmy Connors
197408,Jimmy Connors
197412,John Newcombe
197506,Arthur Ashe
197506,Bjorn Borg
197508,Manuel Orantes
197512,Mark Edmondson
197605,Adriano Panatta
197606,Bjorn Borg
197609,Jimmy Connors
197701,Roscoe Tanner
197705,Guillermo Vilas
197706,Bjorn Borg
197708,Guillermo Vilas
197805,Bjorn Borg
197806,Bjorn Borg
197808,Jimmy Connors
197812,Guillermo Vilas
197905,Bjorn Borg
197906,Bjorn Borg
197908,John Mcenroe
197912,Guillermo Vilas
198005,Bjorn Borg
198006,Bjorn Borg
198008,John Mcenroe
198012,Brian Teacher
198105,Bjorn Borg
198106,John Mcenroe
198109,John Mcenroe
198112,Johan Kriek
198205,Mats Wilander
198206,Jimmy Connors
198208,Jimmy Connors
198212,Johan Kriek
198305,Yannick Noah
198306,John Mcenroe
198308,Jimmy Connors
198311,Mats Wilander
198405,Ivan Lendl
198406,John Mcenroe
198408,John Mcenroe
198411,Mats Wilander
198505,Mats Wilander
198506,Boris Becker
198508,Ivan Lendl
198511,Stefan Edberg
198605,Ivan Lendl
198606,Boris Becker
198608,Ivan Lendl
198701,Stefan Edberg
198705,Ivan Lendl
198706,Pat Cash
198709,Ivan Lendl
198801,Mats Wilander
198805,Mats Wilander
198806,Stefan Edberg
198808,Mats Wilander
198901,Ivan Lendl
198905,Michael Chang
198906,Boris Becker
198908,Boris Becker
199001,Ivan Lendl
199005,Andres Gomez
199006,Stefan Edberg
199008,Pete Sampras
199101,Boris Becker
199105,Jim Courier
199106,Michael Stich
199108,Stefan Edberg
199201,Jim Courier
199205,Jim Courier
199206,Andre Agassi
199208,Stefan Edberg
199301,Jim Courier
199305,Sergi Bruguera
199306,Pete Sampras
199308,Pete Sampras
199401,Pete Sampras
199405,Sergi Bruguera
199406,Pete Sampras
199408,Andre Agassi
199501,Andre Agassi
199505,Thomas Muster
199506,Pete Sampras
199508,Pete Sampras
199601,Boris Becker
199605,Yevgeny Kafelnikov
199606,Richard Krajicek
199608,Pete Sampras
199701,Pete Sampras
199705,Gustavo Kuerten
199706,Pete Sampras
199708,Patrick Rafter
199801,Petr Korda
199805,Carlos Moya
199806,Pete Sampras
199808,Patrick Rafter
199901,Yevgeny Kafelnikov
199905,Andre Agassi
199906,Pete Sampras
199908,Andre Agassi
200001,Andre Agassi
200005,Gustavo Kuerten
200006,Pete Sampras
200008,Marat Safin
200101,Andre Agassi
200105,Gustavo Kuerten
200106,Goran Ivanisevic
200108,Lleyton Hewitt
200201,Thomas Johansson
200205,Albert Costa
200206,Lleyton Hewitt
200208,Pete Sampras
200301,Andre Agassi
200305,Juan Carlos Ferrero
200306,Roger Federer
200308,Andy Roddick
200401,Roger Federer
200405,Gaston Gaudio
200406,Roger Federer
200408,Roger Federer
200501,Marat Safin
200505,Rafael Nadal
200506,Roger Federer
200508,Roger Federer
200601,Roger Federer
200605,Rafael Nadal
200606,Roger Federer
200608,Roger Federer
200701,Roger Federer
200705,Rafael Nadal
200706,Roger Federer
200708,Roger Federer
200801,Novak Djokovic
200805,Rafael Nadal
200806,Rafael Nadal
200808,Roger Federer
200901,Rafael Nadal
200905,Roger Federer
200906,Roger Federer
200908,Juan Martin Del Potro
201001,Roger Federer
201005,Rafael Nadal
201006,Rafael Nadal
201008,Rafael Nadal
201101,Novak Djokovic
201105,Rafael Nadal
201106,Novak Djokovic
201108,Novak Djokovic
201201,Novak Djokovic
201205,Rafael Nadal
201206,Roger Federer
201208,Andy Murray
201301,Novak Djokovic
201305,Rafael Nadal
201306,Andy Murray
201308,Rafael Nadal
201401,Stanislas Wawrinka
201405,Rafael Nadal
201406,Novak Djokovic
201408,Marin Cilic
201501,Novak Djokovic
201505,Stanislas Wawrinka
201506,Novak Djokovic
201508,Novak Djokovic
201601,Novak Djokovic
201605,Novak Djokovic
201606,Andy Murray
201608,Stanislas Wawrinka
201701,Roger Federer
201705,Rafael Nadal
201707,Roger Federer
201708,Rafael Nadal
201801,Roger Federer
201805,Rafael Nadal
201807,Novak Djokovic
201808,Novak Djokovic
201901,Novak Djokovic
201905,Rafael Nadal
201907,Novak Djokovic
201908,Rafael Nadal
202002,Novak Djokovic